"Enhancer","Genes","XBP1","Trl","xrp1","USP","bergman_EcR_usp","CF2","bergman_Rel","da","crp","EcR","GATA_elemento","ERR","Eip74EF","h","gcm","kay_Jra","Hnf4","srp_SANGER","slp2_forkhead","Rel_FFS","Tgo","TBS","new_act_score","treatment","new_act_binary","chromosome"
"2L:12534235-12534772(+)","FBgn0259176;FBgn0261709",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,4,836.834,"H2O","Low","2L"
"2L:12692549-12693199(+)","FBgn0032445;FBgn0032447;FBgn0032453;FBgn0032448;FBgn0032446;FBgn0032451;FBgn0004394;FBgn0032444;FBgn0032452;FBgn0032450;FBgn0032449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563.589,"H2O","Low","2L"
"2L:12719228-12719800(+)","FBgn0032454;FBgn0032453;FBgn0283550;FBgn0032456;FBgn0032451;FBgn0032455;FBgn0032452;FBgn0032450",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,667.888,"H2O","Low","2L"
"2L:12730949-12731537(+)","FBgn0032455;FBgn0032456;FBgn0283550",0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,746.053,"H2O","Low","2L"
"2L:12823744-12824576(+)","FBgn0015399",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1119.52,"H2O","Low","2L"
"2L:12887548-12888123(+)","0",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,582.285,"H2O","Low","2L"
"2L:12975225-12975803(+)","FBgn0032462;FBgn0263598;FBgn0032464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,842.374,"H2O","Low","2L"
"2L:13040962-13041589(+)","FBgn0262160",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,5,1501.05,"H2O","High","2L"
"2L:13049015-13049773(+)","FBgn0262160",1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,6,786.404,"H2O","Low","2L"
"2L:13073920-13074465(+)","FBgn0262160",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,584.311,"H2O","Low","2L"
"2L:13113649-13114174(+)","FBgn0265087;FBgn0262352;FBgn0267017;FBgn0032470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,797.052,"H2O","Low","2L"
"2L:13165248-13166046(+)","FBgn0028410;FBgn0267989;FBgn0024291;FBgn0032477;FBgn0051849;FBgn0032474;FBgn0032475;FBgn0032476;FBgn0264546;FBgn0032473",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,517.518,"H2O","Low","2L"
"2L:13190448-13191052(+)","FBgn0264546;FBgn0032482;FBgn0032478;FBgn0032477;FBgn0051849;FBgn0032481;FBgn0032480;FBgn0032475;FBgn0032476;FBgn0032479",0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,2,0,0,0,7,567.028,"H2O","Low","2L"
"2L:13203652-13204424(+)","FBgn0032482;FBgn0032484;FBgn0032483;FBgn0032481;FBgn0032480;FBgn0004192;FBgn0004191;FBgn0032485;FBgn0032479",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,5,639.457,"H2O","Low","2L"
"2L:13205704-13206670(+)","FBgn0032482;FBgn0032484;FBgn0032487;FBgn0032483;FBgn0032480;FBgn0004192;FBgn0032481;FBgn0004191;FBgn0032485;FBgn0032479;FBgn0032486",1,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,9,633.67,"H2O","Low","2L"
"2L:13330829-13331474(+)","FBgn0264308",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,618.57,"H2O","Low","2L"
"2L:13515048-13515763(+)","FBgn0053642;FBgn0263354;FBgn0023407;FBgn0053641;FBgn0053640",1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,7,3055.7,"H2O","High","2L"
"2L:13560349-13560952(+)","FBgn0259984;FBgn0023407",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,901.746,"H2O","Low","2L"
"2L:13569755-13570335(+)","FBgn0259984;FBgn0266308",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,745.747,"H2O","Low","2L"
"2L:13572281-13572938(+)","FBgn0259984;FBgn0266308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233.58,"H2O","High","2L"
"2L:13614753-13615494(+)","FBgn0262194;FBgn0259984",0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,16,664.328,"H2O","Low","2L"
"2L:1372208-1372709(+)","FBgn0266203;FBgn0031337;FBgn0002543;FBgn0051659;FBgn0053126;FBgn0266202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.433,"H2O","Low","2L"
"2L:13741467-13742073(+)","FBgn0266140;FBgn0262332;FBgn0028541;FBgn0051813;FBgn0262272;FBgn0267573",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,790.699,"H2O","Low","2L"
"2L:13829082-13829735(+)","FBgn0053306;FBgn0028509;FBgn0001961;FBgn0004406;FBgn0004407;FBgn0000153;FBgn0028920;FBgn0026373;FBgn0015271;FBgn0053307;FBgn0260407;FBgn0001965;FBgn0064115",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,5,474.539,"H2O","Low","2L"
"2L:13887049-13887835(+)","FBgn0028509;FBgn0019890",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2669.8,"H2O","High","2L"
"2L:13945811-13946562(+)","FBgn0032538;FBgn0261628;FBgn0028544;FBgn0032536;FBgn0261514",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,523.269,"H2O","Low","2L"
"2L:1400616-1401439(+)","FBgn0002543",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,538.045,"H2O","Low","2L"
"2L:14023937-14024457(+)","FBgn0051840;FBgn0028872;FBgn0028519;FBgn0266822;FBgn0001967;FBgn0027348;FBgn0266143;FBgn0028909;FBgn0266892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,839.992,"H2O","Low","2L"
"2L:14180950-14181545(+)","FBgn0263038;FBgn0016930",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,876.936,"H2O","Low","2L"
"2L:14219482-14220254(+)","FBgn0265940;FBgn0016930",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,576.259,"H2O","Low","2L"
"2L:14229852-14230483(+)","FBgn0265940;FBgn0265147;FBgn0265941;FBgn0016930",0,1,0,1,0,5,0,1,4,0,1,0,1,0,0,0,1,1,0,1,0,17,631.146,"H2O","Low","2L"
"2L:14234598-14235213(+)","FBgn0265940;FBgn0265147;FBgn0265941;FBgn0016930",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,883.087,"H2O","Low","2L"
"2L:14513003-14513682(+)","FBgn0053648;FBgn0267257;FBgn0011862;FBgn0011863;FBgn0266841;FBgn0011864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,647.115,"H2O","Low","2L"
"2L:15264325-15265151(+)","FBgn0086691;FBgn0259982;FBgn0045842;FBgn0028862;FBgn0263765;FBgn0266888;FBgn0261268;FBgn0283467",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,5,488.522,"H2O","Low","2L"
"2L:1548616-1549306(+)","FBgn0261509",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,658.422,"H2O","Low","2L"
"2L:15500054-15500760(+)","FBgn0266831;FBgn0002524;FBgn0020371",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,6,770.021,"H2O","Low","2L"
"2L:15777547-15778104(+)","FBgn0264260;FBgn0041627;FBgn0028507;FBgn0001987;FBgn0001990;FBgn0028901;FBgn0051826",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,458.342,"H2O","Low","2L"
"2L:15790669-15791320(+)","FBgn0028901;FBgn0264260",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,703.51,"H2O","Low","2L"
"2L:15934205-15934891(+)","FBgn0028645;FBgn0028514;FBgn0028857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,1198.67,"H2O","Low","2L"
"2L:16141448-16142106(+)","FBgn0085197;FBgn0266165;FBgn0028884",0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,516.066,"H2O","Low","2L"
"2L:16217538-16218372(+)","FBgn0265949;FBgn0261999;FBgn0264392;FBgn0028893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,4,467.695,"H2O","Low","2L"
"2L:16253799-16254529(+)","FBgn0001994;FBgn0028515;FBgn0262000;FBgn0028897;FBgn0261999;FBgn0002673;FBgn0024734",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,546.657,"H2O","Low","2L"
"2L:16255122-16255814(+)","FBgn0001994;FBgn0028515;FBgn0262000;FBgn0028897;FBgn0261999;FBgn0002673;FBgn0024734",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,602.179,"H2O","Low","2L"
"2L:16319610-16320387(+)","FBgn0000339;FBgn0015338;FBgn0028899;FBgn0040984;FBgn0001995;FBgn0011708;FBgn0028525;FBgn0000250;FBgn0014092;FBgn0001086",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4,475.133,"H2O","Low","2L"
"2L:16351488-16352456(+)","FBgn0025678;FBgn0028506;FBgn0265578;FBgn0259151;FBgn0028899;FBgn0000307;FBgn0028841;FBgn0087041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,618.759,"H2O","Low","2L"
"2L:16414665-16415369(+)","FBgn0086037;FBgn0028523",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1011.25,"H2O","Low","2L"
"2L:16422617-16423283(+)","FBgn0086037;FBgn0028523",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,754.309,"H2O","Low","2L"
"2L:16491244-16491807(+)","FBgn0032586;FBgn0032585;FBgn0005677;FBgn0266329",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,4,494.122,"H2O","Low","2L"
"2L:16521138-16521860(+)","FBgn0266894;FBgn0086038;FBgn0032586;FBgn0032587;FBgn0266895;FBgn0263555",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,682.977,"H2O","Low","2L"
"2L:16525546-16526554(+)","FBgn0266894;FBgn0086038;FBgn0032587;FBgn0266895;FBgn0263555",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1540.64,"H2O","High","2L"
"2L:16528460-16529321(+)","FBgn0266894;FBgn0086038;FBgn0051816;FBgn0032587;FBgn0266895;FBgn0263555",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,5,916.174,"H2O","Low","2L"
"2L:16529341-16530195(+)","FBgn0266894;FBgn0259735;FBgn0086038;FBgn0051816;FBgn0032587;FBgn0266895;FBgn0263555",2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,751.021,"H2O","Low","2L"
"2L:16533327-16533866(+)","FBgn0266894;FBgn0259735;FBgn0086038;FBgn0051816;FBgn0032587;FBgn0266895;FBgn0263555",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,547.079,"H2O","Low","2L"
"2L:16533948-16534756(+)","FBgn0266894;FBgn0266895;FBgn0086038;FBgn0032588;FBgn0051816;FBgn0259735;FBgn0032587;FBgn0263555",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3747.13,"H2O","High","2L"
"2L:16612061-16612688(+)","FBgn0259735;FBgn0032590;FBgn0051815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129.46,"H2O","Low","2L"
"2L:16620834-16621557(+)","FBgn0265000;FBgn0259735;FBgn0032590;FBgn0051815",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1984.78,"H2O","High","2L"
"2L:16637242-16637952(+)","FBgn0259735;FBgn0265000",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,7,2013.59,"H2O","High","2L"
"2L:1666607-1667766(+)","FBgn0086758",1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,6,2505.62,"H2O","High","2L"
"2L:1669045-1669819(+)","FBgn0086758",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1225.73,"H2O","Low","2L"
"2L:16720925-16721499(+)","FBgn0262438;FBgn0062978;FBgn0015391;FBgn0027779;FBgn0051812;FBgn0086907;FBgn0032595;FBgn0000409;FBgn0032597;FBgn0032596;FBgn0263746",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,0,1,10,569.512,"H2O","Low","2L"
"2L:16798467-16799120(+)","FBgn0040260;FBgn0040262;FBgn0032609;FBgn0032603;FBgn0086673;FBgn0264695;FBgn0000406;FBgn0040261",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4,748.242,"H2O","Low","2L"
"2L:16817317-16817817(+)","FBgn0032612;FBgn0051739;FBgn0032609;FBgn0086673;FBgn0022213;FBgn0004797",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,769.656,"H2O","Low","2L"
"2L:16824949-16825682(+)","FBgn0004797;FBgn0032612;FBgn0051739;FBgn0032609;FBgn0086673;FBgn0022213;FBgn0266491;FBgn0032613;FBgn0266492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,589.132,"H2O","Low","2L"
"2L:16826835-16827484(+)","FBgn0004797;FBgn0032612;FBgn0051739;FBgn0032609;FBgn0032614;FBgn0086673;FBgn0022213;FBgn0266491;FBgn0032613;FBgn0266492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,675.123,"H2O","Low","2L"
"2L:16881755-16882488(+)","FBgn0040985;FBgn0032618;FBgn0051781;FBgn0052832;FBgn0260758;FBgn0265542;FBgn0085342;FBgn0261671",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,511.012,"H2O","Low","2L"
"2L:1692623-1693339(+)","FBgn0031356;FBgn0086758;FBgn0011570",0,0,1,1,0,2,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,9,1542.13,"H2O","High","2L"
"2L:17016252-17016951(+)","FBgn0267018;FBgn0032624",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1130.23,"H2O","Low","2L"
"2L:1707939-1708653(+)","FBgn0266311;FBgn0031357;FBgn0086758;FBgn0011570;FBgn0031356;FBgn0031359;FBgn0086698",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1302.9,"H2O","High","2L"
"2L:1720720-1721448(+)","FBgn0266311;FBgn0031361;FBgn0260648;FBgn0031357;FBgn0011570;FBgn0000579;FBgn0031356;FBgn0031359;FBgn0264494;FBgn0086698;FBgn0031360",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,6,1293.88,"H2O","High","2L"
"2L:17277521-17278050(+)","FBgn0032631;FBgn0032632;FBgn0267293",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,818.543,"H2O","Low","2L"
"2L:17293059-17293829(+)","FBgn0032631;FBgn0032632;FBgn0267293",2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,10,1470.67,"H2O","High","2L"
"2L:17450118-17451061(+)","FBgn0267923;FBgn0000183;FBgn0032636;FBgn0053928;FBgn0260632;FBgn0032639;FBgn0032638;FBgn0032637",0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1122.15,"H2O","Low","2L"
"2L:17500755-17501330(+)","FBgn0267279;FBgn0262856;FBgn0013810;FBgn0032646;FBgn0262857;FBgn0003187;FBgn0032645;FBgn0263654",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,617.508,"H2O","Low","2L"
"2L:17598333-17598975(+)","FBgn0032652;FBgn0266587;FBgn0265584;FBgn0032651;FBgn0261089;FBgn0265585;FBgn0265583;FBgn0266586",0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,3143.39,"H2O","High","2L"
"2L:17824287-17824968(+)","FBgn0262017;FBgn0262018",0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,551.903,"H2O","Low","2L"
"2L:17921153-17921745(+)","FBgn0262960;FBgn0262963",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707.483,"H2O","Low","2L"
"2L:18144949-18145801(+)","FBgn0032671;FBgn0032668;FBgn0265671;FBgn0032669;FBgn0001301;FBgn0032670;FBgn0041184;FBgn0261804",0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,3,0,0,0,0,1,10,911.185,"H2O","Low","2L"
"2L:18151419-18152178(+)","FBgn0032671;FBgn0032668;FBgn0265671;FBgn0032669;FBgn0001301;FBgn0032670;FBgn0041184;FBgn0261804",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,965.548,"H2O","Low","2L"
"2L:18247372-18248647(+)","FBgn0051788;FBgn0266206;FBgn0263325;FBgn0263327;FBgn0261804",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,798.65,"H2O","Low","2L"
"2L:18261725-18262558(+)","FBgn0051788;FBgn0266206;FBgn0263325;FBgn0263327;FBgn0261804",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,5,1683.02,"H2O","High","2L"
"2L:18332141-18332919(+)","FBgn0000636",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,5,726.964,"H2O","Low","2L"
